model_id,model_name,model_family,developer,release_date,context_window_tokens,mode,sources_found_in,canonical_model_id_litellm,canonical_model_id_openrouter,canonical_model_id_modelsdev,dedup_confidence,dedup_notes,avg_agentic_coding_score,avg_reasoning_chat_score
*-1-month-commitment-cohere-command-light-text-v14,*-1-month-commitment-cohere-command-light-text-v14,,bedrock,,4096.0,chat,litellm,bedrock/*/1-month-commitment/cohere.command-light-text-v14,,,high,,,
*-1-month-commitment-cohere-command-text-v14,*-1-month-commitment-cohere-command-text-v14,,bedrock,,4096.0,chat,litellm,bedrock/*/1-month-commitment/cohere.command-text-v14,,,high,,,
*-6-month-commitment-cohere-command-light-text-v14,*-6-month-commitment-cohere-command-light-text-v14,,bedrock,,4096.0,chat,litellm,bedrock/*/6-month-commitment/cohere.command-light-text-v14,,,high,,,
*-6-month-commitment-cohere-command-text-v14,*-6-month-commitment-cohere-command-text-v14,,bedrock,,4096.0,chat,litellm,bedrock/*/6-month-commitment/cohere.command-text-v14,,,high,,,
1024-x-1024-50-steps-bedrock-amazon-nova-canvas-v1,1024-x-1024-50-steps-bedrock-amazon-nova-canvas-v1,,1024-x-1024,,,image_generation,litellm,1024-x-1024/50-steps/bedrock/amazon.nova-canvas-v1:0,,,high,,,
1024-x-1024-50-steps-stability-stable-diffusion-xl-v1,1024-x-1024-50-steps-stability-stable-diffusion-xl-v1,,1024-x-1024,,77.0,image_generation,litellm,1024-x-1024/50-steps/stability.stable-diffusion-xl-v1,,,high,,,
1024-x-1024-dall-e-2,1024-x-1024-dall-e-2,,1024-x-1024,,,image_generation,litellm,1024-x-1024/dall-e-2,,,high,,,
1024-x-1024-gpt-image-1-5,1024-x-1024-gpt-image-1-5,,1024-x-1024,,,image_generation,litellm,1024-x-1024/gpt-image-1.5,,,high,multiple versioned variants exist for this family,,
1024-x-1024-gpt-image-1-5-2025-12-16,1024-x-1024-gpt-image-1-5-2025-12-16,,1024-x-1024,,,image_generation,litellm,1024-x-1024/gpt-image-1.5-2025-12-16,,,high,multiple versioned variants exist for this family,,
1024-x-1024-max-steps-stability-stable-diffusion-xl-v1,1024-x-1024-max-steps-stability-stable-diffusion-xl-v1,,1024-x-1024,,77.0,image_generation,litellm,1024-x-1024/max-steps/stability.stable-diffusion-xl-v1,,,high,,,
